orderId,exchangeOrderId,exchangeTradeId,tradingSymbol,transactionType,tradedQuantity,tradedPrice,exchangeTime,createTime,orderStatus,productType
22226081843503,1800000007089073,115033,BANKNIFTY-Aug2026-57500-PE,BUY,30,402.55,2026-08-18 09:25:00,2026-08-18 09:25:00,TRADED,INTRADAY
22226081843503,1800000007089073,115034,BANKNIFTY-Aug2026-57500-PE,BUY,30,403.05,2026-08-18 09:25:00,2026-08-18 09:25:00,TRADED,INTRADAY
22226081861903,1300000012450395,1162619,NIFTY-Aug2026-24300-PE,BUY,130,80.95,2026-08-18 09:30:06,2026-08-18 09:30:05,TRADED,INTRADAY
23226081814103,1800000010335048,154115,BANKNIFTY-Aug2026-57500-PE,SELL,60,432.25,2026-08-18 09:30:27,2026-08-18 09:30:27,TRADED,INTRADAY
32226081865903,1800000010065080,149463,BANKNIFTY-Aug2026-57500-PE,SELL,30,427.75,2026-08-18 09:30:03,2026-08-18 09:30:03,TRADED,INTRADAY
32226081865903,1800000010065080,149464,BANKNIFTY-Aug2026-57500-PE,SELL,30,427.75,2026-08-18 09:30:03,2026-08-18 09:30:03,TRADED,INTRADAY
34226081814403,1800000010075156,149696,BANKNIFTY-Aug2026-57500-PE,BUY,30,429.0,2026-08-18 09:30:04,2026-08-18 09:30:04,TRADED,INTRADAY
34226081814403,1800000010075156,149697,BANKNIFTY-Aug2026-57500-PE,BUY,30,429.0,2026-08-18 09:30:04,2026-08-18 09:30:04,TRADED,INTRADAY
34226081815403,1300000014101591,1307345,NIFTY-Aug2026-24300-PE,SELL,130,87.45,2026-08-18 09:32:02,2026-08-18 09:32:02,TRADED,INTRADAY
